symbol,exchange,organ_name,en_organ_name,type,id,short_name,sector1_vn,sector2_vn,sector3_vn,sector1_en,sector2_en,sector3_en,listing_shares,source
GEL,HOSE,CTCP Hạ tầng GELEX,Gelex Infrastructure Joint Stock Company,STOCK,99.0,Hạ tầng GELEX,Công nghiệp,Tư liệu sản xuất,Tập đoàn công nghiệp,Industrials,Capital Goods,Industrial Conglomerates,0,CURRENT_LOCKED
GEX,HOSE,CTCP Tập đoàn GELEX,GELEX Group JSC,STOCK,100.0,GELEX,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Industrials,Capital Goods,Electrical Equipment,902398948,CURRENT_LOCKED
GIL,HOSE,CTCP Sản xuất Kinh doanh và Xuất nhập khẩu Bình Thạnh,Binh Thanh Import - Export Production & Trade JSC,STOCK,101.0,Sản xuất Kinh doanh và Xuất nhập khẩu Bình Thạnh,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",101600066,CURRENT_LOCKED
GMD,HOSE,CTCP Gemadept,Gemadept Corporation,STOCK,102.0,Gemadept,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,420192309,CURRENT_LOCKED
GVR,HOSE,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,Vietnam Rubber Group - Joint Stock Company,STOCK,103.0,Công nghiệp Cao su Việt Nam - CTCP,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,4000000000,CURRENT_LOCKED
HAG,HOSE,CTCP Hoàng Anh Gia Lai,Hoang Anh Gia Lai Joint Stock Company,STOCK,104.0,Hoàng Anh Gia Lai,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,1057467947,CURRENT_LOCKED
HAH,HOSE,CTCP Vận tải và Xếp dỡ Hải An,Hai An Transport & Stevedoring Joint Stock Company,STOCK,105.0,Vận tải và Xếp dỡ Hải An,Công nghiệp,Vận tải,Vận tải biển,Industrials,Transportation,Marine Transportation,168861212,CURRENT_LOCKED
HAX,HOSE,CTCP Dịch vụ Ô tô Hàng Xanh,Hang Xanh Motors Service Joint Stock Company,STOCK,106.0,Dịch vụ Ô tô Hàng Xanh,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Bán lẻ chuyên doanh,Consumer Discretionary,Consumer Discre. Dist. & Retail,Specialty Retail,107439681,CURRENT_LOCKED
HBC,UPCOM,CTCP Tập đoàn Xây dựng Hòa Bình,Hoa Binh Construction Group Joint Stock Company,STOCK,107.0,Xây dựng Hòa Bình,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,347213270,CURRENT_LOCKED
HCM,HOSE,CTCP Chứng khoán Thành phố Hồ Chí Minh,Ho Chi Minh City Securities Corporation,STOCK,108.0,Chứng khoán Thành phố Hồ Chí Minh,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,720811532,CURRENT_LOCKED
HDB,HOSE,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ho Chi Minh City Development Joint Stock Commercial Bank,STOCK,109.0,Phát triển Thành phố Hồ Chí Minh,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,3510142254,CURRENT_LOCKED
HDC,HOSE,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau House Development JSC,STOCK,110.0,Phát triển Nhà Bà Rịa - Vũng Tàu,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,178354966,CURRENT_LOCKED
HDG,HOSE,CTCP Tập đoàn Hà Đô,Ha Do Group JSC,STOCK,111.0,Hà Đô,Tiện ích,Tiện ích,Điện,Utilities,Utilities,Electric Utilities,369963035,CURRENT_LOCKED
HHS,HOSE,CTCP Đầu tư Dịch vụ Hoàng Huy,Hoang Huy Investment Services Joint Stock Company,STOCK,112.0,Đầu tư Dịch vụ Hoàng Huy,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Consumer Discretionary,Consumer Discre. Dist. & Retail,Distributors,431985968,CURRENT_LOCKED
HHV,HOSE,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả,Deo Ca Traffic Infrastructure Investment JSC,STOCK,113.0,Đầu tư Hạ tầng Giao thông Đèo Cả,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,497433003,CURRENT_LOCKED
HII,HOSE,CTCP An Tiến Industries,An Tien Industries JSC,STOCK,114.0,An Tiến Industries,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,73663016,CURRENT_LOCKED
