symbol,exchange,company_name,display_name,en_company_name,vietstock_company_name,name_match_status,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,vietstock_financial_url,status,needs_review,review_reason
SKG,HOSE,CTCP Tàu cao tốc Superdong - Kiên Giang,CTCP Tàu cao tốc Superdong - Kiên Giang,Superdong Fast Ferry Kieng Giang JSC,CTCP Tàu cao tốc Superdong - Kiên Giang - SUPERDONG FF (KG) JSC - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Vận tải biển,Công nghiệp,Vận tải,Vận tải biển,Cảng & Logistics,NORMAL,14,van tai bien,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/SKG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SKG/tai-chinh.htm?tab=BCTT,OK,NO,
SKV,UPCOM,CTCP Nước giải khát Yến sào Khánh Hòa,CTCP Nước giải khát Yến sào Khánh Hòa,Khanh Hoa Salanganest Nest Soft Drink Joint Stock Company,CTCP Nước giải khát Yến sào Khánh Hòa - YEN SAO KHANH HOA SANEST - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/SKV/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SKV/tai-chinh.htm?tab=BCTT,OK,NO,
SLD,UPCOM,CTCP Địa ốc Sacom,CTCP Địa ốc Sacom,Sacom Land Corporation,CTCP Địa ốc Sacom - Sacom Land - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SLD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SLD/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
SMB,HOSE,CTCP Bia Sài Gòn - Miền Trung,CTCP Bia Sài Gòn - Miền Trung,Sai Gon - Mien Trung Beer JSC,CTCP Bia Sài Gòn - Miền Trung - SMB - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/SMB/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SMB/tai-chinh.htm?tab=BCTT,OK,NO,
SMC,HOSE,CTCP Đầu tư Thương mại SMC,CTCP Đầu tư Thương mại SMC,SMC Trading Investment Joint Stock Company,CTCP Đầu tư Thương mại SMC - SMC J.S.C. - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Nguyên vật liệu,Khai khoáng và luyện kim,,Kim loại & Khoáng sản,NORMAL,32,khai khoang,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/SMC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SMC/tai-chinh.htm?tab=BCTT,OK,NO,
SNZ,UPCOM,Tổng Công ty cổ phần Phát triển Khu Công nghiệp,Tổng Công ty cổ phần Phát triển Khu Công nghiệp,Sonadezi Corporation,Tổng Công ty cổ phần Phát triển Khu Công nghiệp - SONADEZI - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SNZ/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SNZ/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
SP2,UPCOM,CTCP Thủy điện Sử Pán 2,CTCP Thủy điện Sử Pán 2,Su Pan 2 Hydroprwer JSC,CTCP Thủy điện Sử Pán 2 - Su Pan No2 HJSC - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SP2/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SP2/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
SRA,HNX,CTCP Sara Việt Nam,CTCP Sara Việt Nam,Sara Vietnam JSC,"CTCP Sara Việt Nam - SARA.,JSC - Hồ sơ doanh nghiệp",MATCH,Chăm sóc sức khỏe,Thiết bị và dịch vụ chăm sóc sức khỏe,Thiết bị và vật tư chăm sóc sức khỏe,Chăm sóc sức khỏe,Thiết bị và dịch vụ chăm sóc sức khỏe,Thiết bị và vật tư chăm sóc sức khỏe,Dược & Y tế,NORMAL,19,cham soc suc khoe,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/SRA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SRA/tai-chinh.htm?tab=BCTT,OK,NO,
SRC,HOSE,CTCP Cao su Sao Vàng,CTCP Cao su Sao Vàng,Sao Vang Rubber Joint Stock Company,CTCP Cao su Sao Vàng - SRC - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Xe và linh kiện,Linh kiện xe,Tiêu dùng không thiết yếu,Xe và linh kiện,Linh kiện xe,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SRC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SRC/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
SRF,HOSE,CTCP SEAREFICO,CTCP SEAREFICO,SEAREFICO CORPORATION,CTCP SEAREFICO - SEAREFICO CORP - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/SRF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SRF/tai-chinh.htm?tab=BCTT,OK,NO,
SSB,HOSE,Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,Southeast Asia Commercial Joint Stock Bank,Ngân hàng TMCP Đông Nam Á - SeABank - Hồ sơ doanh nghiệp,MATCH,Tài chính,Tổ chức tín dụng,Ngân hàng,Tài chính,Tổ chức tín dụng,Ngân hàng,Ngân hàng,BANK,1,ngan hang,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/SSB/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SSB/tai-chinh.htm?tab=BCTT,OK,NO,
SSH,UPCOM,CTCP Phát triển Sunshine Homes,CTCP Phát triển Sunshine Homes,Sunshine Homes Development JSC,CTCP Phát triển Sunshine Homes - SSH - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SSH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SSH/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
SSN,UPCOM,CTCP Xuất nhập khẩu Thủy sản Sài Gòn,CTCP Xuất nhập khẩu Thủy sản Sài Gòn,Saigon SeaProducts Import - Export JSC,CTCP Xuất nhập khẩu Thủy sản Sài Gòn - Seaprodex Saigon - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Bất động sản đa dạng,Bất động sản,Bất động sản đa dạng,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SSN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SSN/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
ST8,HOSE,CTCP Tập đoàn ST8,CTCP Tập đoàn ST8,ST8 Holdings Joint Stock Company,CTCP Tập đoàn ST8 - ST8 - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Hàng không,NORMAL,17,hang khong,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ST8/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ST8/tai-chinh.htm?tab=BCTT,OK,NO,
STG,HOSE,CTCP Kho vận Miền Nam,CTCP Kho vận Miền Nam,South Logistics Joint Stock Company,CTCP Kho vận Miền Nam - Sotrans - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/STG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/STG/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
STK,HOSE,CTCP Sợi Thế Kỷ,CTCP Sợi Thế Kỷ,Century Synthetic Fiber Corporation,CTCP Sợi Thế Kỷ - Century Corp - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Dệt may,NORMAL,13,det may,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/STK/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/STK/tai-chinh.htm?tab=BCTT,OK,NO,
SVC,HOSE,CTCP Dịch vụ Tổng hợp Sài Gòn,CTCP Dịch vụ Tổng hợp Sài Gòn,Saigon General Service Corporation,CTCP Dịch vụ Tổng hợp Sài Gòn - SAVICO - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Bán lẻ chuyên doanh,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Bán lẻ chuyên doanh,Bán lẻ,NORMAL,8,ban le,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/SVC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SVC/tai-chinh.htm?tab=BCTT,OK,NO,
SVD,HOSE,CTCP Đầu tư & Thương mại Vũ Đăng,CTCP Đầu tư & Thương mại Vũ Đăng,Vu Dang Investment & Trading JSC,"CTCP Đầu tư & Thương mại Vũ Đăng - VU DANG.,JSC - Hồ sơ doanh nghiệp",MATCH,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Dệt may,NORMAL,13,det may,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/SVD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SVD/tai-chinh.htm?tab=BCTT,OK,NO,
SVG,UPCOM,CTCP Hơi Kỹ nghệ Que hàn,CTCP Hơi Kỹ nghệ Que hàn,Industrial Gas and Welding Electrode Joint Stock Company,CTCP Hơi Kỹ nghệ Que hàn - SOVIGAZ - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Nguyên vật liệu,Hóa chất,,Hóa chất,NORMAL,10,hoa chat,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/SVG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SVG/tai-chinh.htm?tab=BCTT,OK,NO,
SWC,UPCOM,Tổng Công ty cổ phần Đường sông Miền Nam,Tổng Công ty cổ phần Đường sông Miền Nam,Southern Waterborne Transport Corporation,Tổng Công ty cổ phần Đường sông Miền Nam - SOWATCO - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Vận tải biển,Công nghiệp,Vận tải,Vận tải biển,Cảng & Logistics,NORMAL,14,van tai bien,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/SWC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SWC/tai-chinh.htm?tab=BCTT,OK,NO,
SZB,HNX,CTCP Sonadezi Long Bình,CTCP Sonadezi Long Bình,Sonadezi Long Binh Joint Stock Company,CTCP Sonadezi Long Bình - Sonadezi Long Binh - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SZB/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SZB/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
SZE,UPCOM,CTCP Môi trường Sonadezi,CTCP Môi trường Sonadezi,Sonadezi Environment Joint Stock Company,CTCP Môi trường Sonadezi - SZE - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Tiện tích tổng hợp,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SZE/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SZE/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
SZG,UPCOM,CTCP Sonadezi Giang Điền,CTCP Sonadezi Giang Điền,Sonadezi Giang Dien Joint Stock Company,CTCP Sonadezi Giang Điền - Sonadezi Giang Điền - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SZG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SZG/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
SZL,HOSE,CTCP Sonadezi Long Thành,CTCP Sonadezi Long Thành,Sonadezi Long Thanh Shareholding Company,CTCP Sonadezi Long Thành - SZL - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SZL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SZL/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
TAR,UPCOM,CTCP Nông nghiệp Công nghệ cao Trung An,CTCP Nông nghiệp Công nghệ cao Trung An,Trung An Hi-Tech Farming JSC,CTCP Nông nghiệp Công nghệ cao Trung An - TRUNG AN HI-TECH FARMING JSC - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/TAR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TAR/tai-chinh.htm?tab=BCTT,OK,NO,
TBC,HOSE,CTCP Thủy điện Thác Bà,CTCP Thủy điện Thác Bà,Thac Ba Hydro Power Joint Stock Company,CTCP Thủy điện Thác Bà - TBHPC - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TBC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TBC/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
TBD,UPCOM,Tổng Công ty Thiết bị Điện Đông Anh - CTCP,Tổng Công ty Thiết bị Điện Đông Anh - CTCP,Dong Anh Electrical Equiment Corporation - Joint Stock Company,Tổng Công ty Thiết bị Điện Đông Anh - CTCP - EEMC - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TBD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TBD/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
TBH,UPCOM,CTCP Tổng Bách Hóa,CTCP Tổng Bách Hóa,General Department Store Joint Stock Company,CTCP Tổng Bách Hóa - TBH - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TBH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TBH/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
TCD,HOSE,CTCP Tập đoàn Xây dựng TRACODI,CTCP Tập đoàn Xây dựng TRACODI,TRACODI Construction Holdings Joint Stock Company,CTCP Tập đoàn Xây dựng TRACODI - TRACODI - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/TCD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TCD/tai-chinh.htm?tab=BCTT,OK,NO,
TCI,HOSE,CTCP Chứng khoán Thành Công,CTCP Chứng khoán Thành Công,Thanh Cong Securities Company,CTCP Chứng khoán Thành Công - TCSC - Hồ sơ doanh nghiệp,MATCH,Tài chính,Dịch vụ tài chính,Thị trường vốn,Tài chính,Dịch vụ tài chính,Thị trường vốn,Chứng khoán,SECURITIES,2,thi truong von,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/TCI/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TCI/tai-chinh.htm?tab=BCTT,OK,NO,
TCK,UPCOM,Tổng Công ty Cơ khí Xây dựng - CTCP,Tổng Công ty Cơ khí Xây dựng - CTCP,Construction Machinery Corporation - JSC,Tổng Công ty Cơ khí Xây dựng - CTCP - COMA - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Máy móc công nghiệp,Công nghiệp,Hàng hóa công nghiệp,Máy móc công nghiệp,Máy móc & Thiết bị,NORMAL,30,may moc,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/TCK/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TCK/tai-chinh.htm?tab=BCTT,OK,NO,
TCL,HOSE,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,Tan Cang Logistics & Stevedoring Joint Stock Company,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng - Tan Cang Logistic JSC - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TCL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TCL/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
TCO,HOSE,CTCP TCO Holdings,CTCP TCO Holdings,TCO Holdings joint Stock Company,CTCP Janus Group - Janus Group - Hồ sơ doanh nghiệp,MISMATCH_REVIEW,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/TCO/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TCO/tai-chinh.htm?tab=BCTT,OK,YES,Tên VNStock khác Vietstock
TD6,HNX,CTCP Than Đèo Nai - Cọc Sáu - TKV,CTCP Than Đèo Nai - Cọc Sáu - TKV,Deo Nai ? Coc Sau ? TKV Coal Joint Stock Company,CTCP Than Đèo Nai - Cọc Sáu - TKV - Than Đèo Nai - Cọc Sáu - Hồ sơ doanh nghiệp,MATCH,Năng lượng,Năng lượng,Dầu khí,Năng lượng,Dầu khí,,Dầu khí,NORMAL,6,dau khi,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/TD6/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TD6/tai-chinh.htm?tab=BCTT,OK,NO,
TDF,UPCOM,CTCP Trung Đô,CTCP Trung Đô,TRUNG DO JOINT STOCK COMPANY,CTCP Trung Đô - TRUNG DO - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/TDF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TDF/tai-chinh.htm?tab=BCTT,OK,NO,
TDG,HOSE,CTCP Đầu tư TDG Global,CTCP Đầu tư TDG Global,TDG Global Investment Joint Stock Company,CTCP Đầu tư TDG Global - TDG Global - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Gas sinh hoạt,Tiện ích,Gas sinh hoạt,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TDG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TDG/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
TDH,HOSE,CTCP Phát triển Nhà Thủ Đức,CTCP Phát triển Nhà Thủ Đức,Thu Duc Housing Development Corporation,CTCP Phát triển Nhà Thủ Đức - THUDUC HOUSE - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TDH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TDH/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
TDM,HOSE,CTCP Nước Thủ Dầu Một,CTCP Nước Thủ Dầu Một,Thu Dau Mot Water Joint Stock Company,CTCP Nước Thủ Dầu Một - TDMWATER.CO - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TDM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TDM/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
TDT,HNX,CTCP Đầu tư và Phát triển TDT,CTCP Đầu tư và Phát triển TDT,TDT Investment and Development Joint Stock Company,CTCP Đầu tư và Phát triển TDT - TDT - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Dệt may,NORMAL,13,det may,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/TDT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TDT/tai-chinh.htm?tab=BCTT,OK,NO,
TEG,HOSE,CTCP Năng lượng và Bất động sản Trường Thành,CTCP Năng lượng và Bất động sản Trường Thành,Truong Thanh Energy and Real Estate JSC,CTCP Trường Thành Energy Group - TTEG - Hồ sơ doanh nghiệp,MISMATCH_REVIEW,Công nghiệp,Hàng hóa công nghiệp,Phân phối hàng công nghiệp,Công nghiệp,Hàng hóa công nghiệp,Phân phối hàng công nghiệp,Thương mại & Phân phối,NORMAL,33,phan phoi,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/TEG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TEG/tai-chinh.htm?tab=BCTT,OK,YES,Tên VNStock khác Vietstock
TGG,UPCOM,CTCP The Golden Group,CTCP The Golden Group,The Golden Group Joint Stock Company,CTCP The Golden Group - - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,Thương mại hàng thiết yếu,Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TGG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TGG/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
THD,HNX,CTCP Thaiholdings,CTCP Thaiholdings,Thaiholdings Joint Stock Company,"CTCP Thaiholdings - Thaiholdings,.Jsc - Hồ sơ doanh nghiệp",MATCH,Công nghiệp,Hàng hóa công nghiệp,Phân phối hàng công nghiệp,Công nghiệp,Hàng hóa công nghiệp,Phân phối hàng công nghiệp,Thương mại & Phân phối,NORMAL,33,phan phoi,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/THD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/THD/tai-chinh.htm?tab=BCTT,OK,NO,
THG,HOSE,CTCP Đầu tư và Xây dựng Tiền Giang,CTCP Đầu tư và Xây dựng Tiền Giang,Tien Giang Investment And Construction JSC,CTCP Đầu tư và Xây dựng Tiền Giang - TICCO - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/THG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/THG/tai-chinh.htm?tab=BCTT,OK,NO,
THN,UPCOM,CTCP Cấp nước Thanh Hóa,CTCP Cấp nước Thanh Hóa,Thanh Hoa Water Supply JSC,CTCP Cấp nước Thanh Hóa - THAWACO - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/THN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/THN/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
THP,UPCOM,CTCP Thủy sản và Thương mại Thuận Phước,CTCP Thủy sản và Thương mại Thuận Phước,Thuan Phuoc Seafoods & Trading Corporation,CTCP Thủy sản và Thương mại Thuận Phước - Thuan Phuoc Corp - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/THP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/THP/tai-chinh.htm?tab=BCTT,OK,NO,
THT,HNX,CTCP Than Hà Tu - Vinacomin,CTCP Than Hà Tu - Vinacomin,Vinacomin - Ha Tu Coal JSC,CTCP Than Hà Tu - Vinacomin - VHTC - Hồ sơ doanh nghiệp,MATCH,Năng lượng,Năng lượng,Dầu khí,Năng lượng,Dầu khí,,Dầu khí,NORMAL,6,dau khi,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/THT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/THT/tai-chinh.htm?tab=BCTT,OK,NO,
